Treatment	Group	Player	Proposal R1	Pledge R1	Contribution R1	Contribution R2	Contribution R3	Contribution R4	Contribution R5	Proposal R6	Pledge R6	Contribution R6	Contribution R7	Contribution R8	Contribution R9	Contribution R10
T1	1	1	120	20	2	4	0	2	0	120	20	4	2	2	0	0
T1	1	2	120	20	2	2	2	2	2	120	20	0	0	0	0	0
T1	1	3	120	20	2	2	2	4	2	120	12	0	2	0	0	0
T1	1	4	2	24	2	2	4	2	2	120	24	2	4	2	2	0
T1	1	5	120	0	0	0	0	0	0	120	0	0	0	0	0	0
T1	1	6	120	12	0	2	0	0	0	120	12	0	0	0	0	0
T1	2	1	120	22	0	0	4	2	0	120	22	2	0	2	2	4
T1	2	2	120	20	2	2	2	2	2	120	20	2	2	2	2	2
T1	2	3	125	20	2	2	2	2	2	120	20	2	2	2	2	2
T1	2	4	120	20	2	2	2	2	2	120	20	2	2	2	2	4
T1	2	5	2	20	2	2	0	4	2	120	20	2	2	2	2	2
T1	2	6	120	20	2	2	4	4	4	58	20	4	0	0	0	4
T1	3	1	120	20	2	2	0	2	2	120	20	2	0	4	4	2
T1	3	2	120	20	4	0	2	0	0	120	20	2	0	4	4	4
T1	3	3	120	20	2	2	2	2	2	120	20	4	0	0	4	2
T1	3	4	120	20	2	2	2	2	2	120	20	2	2	2	2	2
T1	3	5	120	20	2	2	4	4	2	120	20	0	2	0	4	2
T1	3	6	120	20	2	2	2	2	2	120	20	4	2	2	4	2
T1	4	1	120	20	0	2	0	0	0	120	20	2	0	4	2	2
T1	4	2	140	20	0	0	0	0	0	120	20	4	2	2	2	0
T1	4	3	120	20	2	2	4	2	2	120	20	2	2	4	2	2
T1	4	4	120	20	2	4	2	4	2	120	20	2	2	4	0	2
T1	4	5	120	20	2	2	2	2	4	120	20	4	2	4	4	2
T1	4	6	120	20	2	2	4	2	4	120	20	4	2	2	2	2
T1	5	1	120	20	2	2	0	2	4	120	20	2	2	2	0	4
T1	5	2	120	20	2	2	2	2	2	120	20	2	2	2	2	2
T1	5	3	120	20	0	4	2	2	0	120	20	2	2	2	2	4
T1	5	4	120	20	2	2	2	2	2	120	20	2	2	2	4	4
T1	5	5	120	20	2	2	2	4	0	120	20	2	2	2	2	2
